iter	Passed	Remaining
0	148	148115
1	148	74340
2	149	49691
3	150	37366
4	150	29965
5	151	25030
6	151	21508
7	152	18864
8	152	16809
9	153	15161
10	153	13814
11	154	12691
12	154	11742
13	155	10927
14	155	10221
15	156	9602
16	156	9057
17	157	8575
18	157	8141
19	158	7751
20	158	7397
21	159	7077
22	159	6783
23	160	6516
24	160	6269
25	161	6040
26	161	5828
27	162	5631
28	162	5449
29	163	5278
30	163	5118
31	164	4968
32	164	4827
33	165	4694
34	165	4569
35	166	4451
36	166	4339
37	167	4233
38	167	4133
39	168	4037
40	168	3946
41	169	3860
42	169	3777
43	170	3698
44	170	3623
45	171	3551
46	171	3482
47	172	3415
48	172	3352
49	173	3291
50	173	3233
51	174	3177
52	174	3123
53	175	3071
54	175	3021
55	176	2972
56	176	2925
57	177	2879
58	177	2836
59	178	2793
60	178	2752
61	179	2713
62	179	2674
63	180	2637
64	180	2601
65	181	2565
66	181	2531
67	182	2495
68	182	2463
69	183	2432
70	183	2402
71	184	2373
72	184	2344
73	185	2316
74	185	2289
75	186	2262
76	186	2236
77	187	2211
78	187	2187
79	188	2163
80	188	2140
81	189	2118
82	189	2096
83	190	2075
84	190	2052
85	191	2032
86	191	2011
87	192	1991
88	192	1973
89	193	1954
90	193	1936
91	194	1919
92	195	1902
93	195	1885
94	196	1869
95	196	1853
96	197	1837
97	197	1822
98	198	1807
99	199	1792
100	199	1778
101	200	1761
102	200	1748
103	201	1735
104	202	1722
105	202	1710
106	203	1699
107	204	1687
108	205	1676
109	205	1664
110	206	1652
111	207	1641
112	207	1629
113	208	1618
114	208	1607
115	209	1596
116	210	1585
117	210	1575
118	211	1564
119	212	1554
120	212	1545
121	213	1535
122	213	1523
123	214	1514
124	215	1505
125	215	1495
126	216	1487
127	216	1477
128	217	1469
129	218	1461
130	219	1453
131	219	1445
132	220	1438
133	221	1430
134	222	1422
135	222	1415
136	223	1407
137	224	1399
138	224	1392
139	225	1385
140	226	1378
141	226	1371
142	227	1364
143	228	1357
144	229	1350
145	229	1344
146	230	1337
147	231	1331
148	232	1325
149	232	1318
150	233	1312
151	234	1306
152	234	1300
153	235	1294
154	236	1288
155	236	1282
156	237	1276
157	238	1270
158	239	1264
159	239	1258
160	240	1253
161	241	1248
162	241	1242
163	242	1237
164	243	1232
165	244	1226
166	244	1221
167	245	1216
168	246	1211
169	247	1206
170	247	1201
171	248	1196
172	249	1192
173	250	1187
174	250	1182
175	251	1177
176	252	1172
177	252	1168
178	253	1163
179	254	1158
180	254	1152
181	255	1148
182	256	1143
183	256	1139
184	257	1134
185	258	1130
186	259	1126
187	259	1122
188	260	1118
189	261	1114
190	262	1110
191	262	1105
192	263	1101
193	264	1098
194	265	1094
195	265	1090
196	266	1086
197	267	1081
198	267	1078
199	268	1074
200	269	1070
201	270	1066
202	270	1062
203	271	1059
204	272	1055
205	272	1051
206	273	1048
207	274	1044
208	275	1041
209	275	1037
210	276	1033
211	277	1030
212	277	1026
213	278	1023
214	279	1019
215	280	1016
216	280	1013
217	281	1009
218	282	1006
219	282	1002
220	283	999
221	284	996
222	284	992
223	285	989
224	286	986
225	287	983
226	287	980
227	288	976
228	289	973
229	289	970
230	290	967
231	291	964
232	292	961
233	292	958
234	293	955
235	294	952
236	294	948
237	295	946
238	296	943
239	296	939
240	297	936
241	298	933
242	298	930
243	299	928
244	300	925
245	300	922
246	301	919
247	302	916
248	303	914
249	303	911
250	304	908
251	305	906
252	305	903
253	306	900
254	307	898
255	308	895
256	308	892
257	309	890
258	310	887
259	310	884
260	311	881
261	312	879
262	312	876
263	313	874
264	314	871
265	314	868
266	315	866
267	316	863
268	317	861
269	318	859
270	318	857
271	319	855
272	320	853
273	321	851
274	321	848
275	322	846
276	323	843
277	324	841
278	324	839
279	325	836
280	326	834
281	326	832
282	327	829
283	328	827
284	329	825
285	329	823
286	330	820
287	331	818
288	331	816
289	332	814
290	333	811
291	333	809
292	334	807
293	335	805
294	336	803
295	336	801
296	337	798
297	338	796
298	338	794
299	339	792
300	340	790
301	341	788
302	341	786
303	342	784
304	343	781
305	343	779
306	344	777
307	345	775
308	345	773
309	346	771
310	347	769
311	348	767
312	348	765
313	349	763
314	350	761
315	350	759
316	351	757
317	352	755
318	353	753
319	353	751
320	354	749
321	355	747
322	355	745
323	356	743
324	357	741
325	357	740
326	358	738
327	359	736
328	360	734
329	360	732
330	361	730
331	362	728
332	362	726
333	363	724
334	364	723
335	364	721
336	365	719
337	366	717
338	367	715
339	367	713
340	368	711
341	369	710
342	369	708
343	370	706
344	371	704
345	372	703
346	372	701
347	373	699
348	374	698
349	375	696
350	375	694
351	376	693
352	377	691
353	378	690
354	379	688
355	379	687
356	380	685
357	381	684
358	382	682
359	382	680
360	383	679
361	384	677
362	385	676
363	385	674
364	386	672
365	387	671
366	388	669
367	389	668
368	390	667
369	390	665
370	391	664
371	392	662
372	393	660
373	393	659
374	394	657
375	395	656
376	396	654
377	396	652
378	397	651
379	398	649
380	398	647
381	399	646
382	400	645
383	401	643
384	401	641
385	402	640
386	403	638
387	404	637
388	404	635
389	405	634
390	406	632
391	406	631
392	407	629
393	408	628
394	409	626
395	409	625
396	410	623
397	411	621
398	411	620
399	412	618
400	413	617
401	413	615
402	414	614
403	415	613
404	416	611
405	417	610
406	417	608
407	418	607
408	419	605
409	419	604
410	420	602
411	421	601
412	421	599
413	422	598
414	423	596
415	424	595
416	424	593
417	425	592
418	426	590
419	426	589
420	427	587
421	428	586
422	428	585
423	429	583
424	430	582
425	430	580
426	431	579
427	432	577
428	432	576
429	433	574
430	434	573
431	434	571
432	435	570
433	436	569
434	436	567
435	437	566
436	438	564
437	439	563
438	439	561
439	440	560
440	441	559
441	441	557
442	442	556
443	443	554
444	443	553
445	444	552
446	445	550
447	445	549
448	446	547
449	447	546
450	447	545
451	448	543
452	449	542
453	449	541
454	450	539
455	451	538
456	451	536
457	452	535
458	453	534
459	453	532
460	454	531
461	455	530
462	455	528
463	456	527
464	457	526
465	457	524
466	458	523
467	459	522
468	459	520
469	460	519
470	461	518
471	461	516
472	462	515
473	463	514
474	463	512
475	464	511
476	465	510
477	465	508
478	466	507
479	467	506
480	467	504
481	468	503
482	469	502
483	469	501
484	470	499
485	471	498
486	471	497
487	472	495
488	473	494
489	473	493
490	474	492
491	475	490
492	475	489
493	476	488
494	477	487
495	478	485
496	478	484
497	479	483
498	479	481
499	480	480
500	481	479
501	481	478
502	482	476
503	483	475
504	483	474
505	484	473
506	485	471
507	486	470
508	486	469
509	487	468
510	488	467
511	489	466
512	489	465
513	490	463
514	491	462
515	492	461
516	492	460
517	493	459
518	494	457
519	494	456
520	495	455
521	496	454
522	496	453
523	497	452
524	498	450
525	498	449
526	499	448
527	500	447
528	500	446
529	501	444
530	502	443
531	503	442
532	503	441
533	504	440
534	505	439
535	506	438
536	506	436
537	507	435
538	508	434
539	509	433
540	509	432
541	510	431
542	511	430
543	512	429
544	512	428
545	513	426
546	514	425
547	514	424
548	515	423
549	516	422
550	516	421
551	517	420
552	518	418
553	518	417
554	519	416
555	520	415
556	521	414
557	521	413
558	522	412
559	523	410
560	523	409
561	524	408
562	525	407
563	525	406
564	526	405
565	527	404
566	527	403
567	528	401
568	529	400
569	529	399
570	530	398
571	531	397
572	532	396
573	532	395
574	533	394
575	534	393
576	534	392
577	535	391
578	536	389
579	536	388
580	537	387
581	538	386
582	539	385
583	539	384
584	540	383
585	541	382
586	541	381
587	542	380
588	543	379
589	543	377
590	544	376
591	545	375
592	545	374
593	546	373
594	547	372
595	548	371
596	548	370
597	549	369
598	550	368
599	550	367
600	551	366
601	552	365
602	552	363
603	553	362
604	554	361
605	555	360
606	555	359
607	556	358
608	557	357
609	557	356
610	558	355
611	559	354
612	559	353
613	560	352
614	561	351
615	561	350
616	562	349
617	563	348
618	563	347
619	564	346
620	565	344
621	565	343
622	566	342
623	567	341
624	568	340
625	568	339
626	569	338
627	569	337
628	570	336
629	571	335
630	572	334
631	572	333
632	573	332
633	574	331
634	574	330
635	575	329
636	576	328
637	577	327
638	577	326
639	578	325
640	579	324
641	579	323
642	580	322
643	581	321
644	581	320
645	582	319
646	583	318
647	584	317
648	584	316
649	585	315
650	586	314
651	587	313
652	587	312
653	588	311
654	589	310
655	590	309
656	590	308
657	591	307
658	592	306
659	592	305
660	593	304
661	594	303
662	594	302
663	595	301
664	596	300
665	597	299
666	598	298
667	598	297
668	599	296
669	600	295
670	601	294
671	601	293
672	602	292
673	603	291
674	604	290
675	604	289
676	605	288
677	606	287
678	606	286
679	607	285
680	608	284
681	608	283
682	609	282
683	610	281
684	611	281
685	611	280
686	612	279
687	613	278
688	613	277
689	614	276
690	615	275
691	616	274
692	617	273
693	617	272
694	618	271
695	619	270
696	619	269
697	620	268
698	621	267
699	622	266
700	622	265
701	623	264
702	624	263
703	624	262
704	625	261
705	625	260
706	626	259
707	627	258
708	628	257
709	628	256
710	629	255
711	630	254
712	631	254
713	631	253
714	632	252
715	633	251
716	633	250
717	634	249
718	635	248
719	636	247
720	636	246
721	637	245
722	638	244
723	639	243
724	639	242
725	640	241
726	641	240
727	641	239
728	642	238
729	643	237
730	643	236
731	644	236
732	645	235
733	646	234
734	647	233
735	647	232
736	648	231
737	649	230
738	650	229
739	650	228
740	651	227
741	652	226
742	652	225
743	653	224
744	654	223
745	654	223
746	655	222
747	656	221
748	657	220
749	657	219
750	658	218
751	659	217
752	660	216
753	660	215
754	661	214
755	662	213
756	662	212
757	663	211
758	664	210
759	665	210
760	665	209
761	666	208
762	667	207
763	668	206
764	668	205
765	669	204
766	670	203
767	670	202
768	671	201
769	672	200
770	673	199
771	674	199
772	674	198
773	675	197
774	676	196
775	677	195
776	678	194
777	679	193
778	679	192
779	680	191
780	681	191
781	682	190
782	683	189
783	684	188
784	684	187
785	685	186
786	686	185
787	687	184
788	688	184
